ALG,HEURISTIC,N,TIME_TAKEN,NODES_EXPANDED,NODES_GENERATED,MAX_MEMORY,SOLUTION_COST,BRANCHING_FACTOR
A*,h1,4,0.000769200000,48,189,189,4,3.937500000000
A*,h2,4,0.000220000000,16,61,61,4,3.812500000000
A*,h1,5,0.005441000001,222,1106,1106,5,4.981981981982
A*,h2,5,0.000721599999,45,221,221,5,4.911111111111
A*,h1,6,0.036333800001,1280,7675,7675,6,5.996093750000
A*,h2,6,0.004883100000,150,895,895,6,5.966666666667
A*,h1,7,0.308145900000,8579,60047,60047,7,6.999300617788
A*,h2,7,0.013682400000,513,3585,3585,7,6.988304093567
A*,h1,8,2.281826200000,61486,491881,491881,8,7.999886152945
A*,h2,8,0.064162200000,1966,15721,15721,8,7.996439471007
A*,h1,9,27.389029300000,491337,4422025,4422025,9,8.999983717896
A*,h2,9,0.350191699999,8043,72379,72379,9,8.999005346264
A*,h1,10,933.058266399999,4285102,42851011,42851011,10,9.999997899700
A*,h2,10,3.331764900000,34816,348151,348151,10,9.999741498162
A*,h2,11,15.584608100000,164247,1806707,1806707,11,10.999939116087
A*,h2,12,134.957897900000,842024,10104277,10104277,12,11.999986936239
